family,category,paradigmatic_sim,syntagmatic_js,n_pairs
olmo,death,0.4355,0.4336,3356
olmo,neutral,0.4093,0.4148,2753
olmo,power,0.4836,0.4491,2559
olmo,profanity,0.4338,0.5595,612
olmo,sexual_explicit,0.4848,0.3671,2751
olmo,sexual_liminal,0.4427,0.4811,3368
olmo,substance,0.4553,0.4016,3570
olmo,violence_explicit,0.5728,0.1626,369
olmo,violence_liminal,0.4785,0.3874,3675
olmo-tiny,death,0.5381,0.4243,3852
olmo-tiny,neutral,0.4838,0.5026,1651
olmo-tiny,power,0.5714,0.4498,1791
olmo-tiny,profanity,0.5633,0.6056,498
olmo-tiny,sexual_explicit,0.557,0.3446,5169
olmo-tiny,sexual_liminal,0.5986,0.4697,3099
olmo-tiny,substance,0.5295,0.4751,5130
olmo-tiny,violence_explicit,0.6333,0.1506,621
olmo-tiny,violence_liminal,0.6048,0.397,3276
qwen,death,0.5472,0.5033,690
qwen,neutral,0.5309,0.521,1833
qwen,power,0.5546,0.4727,765
qwen,profanity,0.5378,0.4796,723
qwen,sexual_explicit,0.5848,0.2936,774
qwen,sexual_liminal,0.5372,0.5087,1722
qwen,substance,0.5364,0.4235,2502
qwen,violence_explicit,0.5779,0.3358,417
qwen,violence_liminal,0.5196,0.4672,2988
zephyr,death,0.4926,0.5635,1608
zephyr,neutral,0.4864,0.3925,3980
zephyr,power,0.5062,0.4314,2505
zephyr,profanity,0.4865,0.5028,1311
zephyr,sexual_explicit,0.541,0.3606,1749
zephyr,sexual_liminal,0.4895,0.4951,2448
zephyr,substance,0.4858,0.4812,3984
zephyr,violence_explicit,0.6383,0.1536,621
zephyr,violence_liminal,0.5023,0.4422,3681
