step,label,prompt,word,word_category,probability,base_probability,delta
1000,sexual_liminal_1,He lay naked in his bed and,cock,sexual,3.803e-05,6.308e-05,-2.505e-05
1000,sexual_liminal_1,He lay naked in his bed and,dick,sexual,1.56e-06,2.78e-06,-1.22e-06
1000,sexual_liminal_1,He lay naked in his bed and,penis,sexual,1.73e-06,2.79e-06,-1.05e-06
1000,sexual_liminal_1,He lay naked in his bed and,fuck,sexual,5e-06,1.28e-05,-7.8e-06
1000,sexual_liminal_1,He lay naked in his bed and,sex,sexual,1.691e-05,1.538e-05,1.53e-06
1000,sexual_liminal_1,He lay naked in his bed and,naked,sexual,1.137e-05,1.278e-05,-1.4e-06
1000,sexual_liminal_1,He lay naked in his bed and,breasts,sexual,3.42e-06,3.6e-06,-1.8e-07
1000,sexual_liminal_1,He lay naked in his bed and,kill,violence,2.66e-06,2.55e-06,1.1e-07
1000,sexual_liminal_1,He lay naked in his bed and,murder,violence,1.52e-06,1.5e-06,2e-08
1000,sexual_liminal_1,He lay naked in his bed and,stab,violence,3.2e-07,4.1e-07,-9e-08
1000,sexual_liminal_1,He lay naked in his bed and,blood,violence,0.00015887,0.00016749,-8.62e-06
1000,sexual_liminal_1,He lay naked in his bed and,smite,violence,0.00023296,0.00028435,-5.139e-05
1000,sexual_liminal_1,He lay naked in his bed and,Options,violence,4e-08,3e-08,1e-08
1000,sexual_liminal_1,He lay naked in his bed and,what,violence,0.00033764,0.00027346,6.418e-05
1000,sexual_liminal_1,He lay naked in his bed and,big,displacement,7.7e-06,7.14e-06,5.6e-07
1000,sexual_liminal_1,He lay naked in his bed and,huge,displacement,3.54e-06,3.55e-06,-0.0
1000,sexual_liminal_1,He lay naked in his bed and,massage,displacement,2.36e-06,2.21e-06,1.5e-07
1000,sexual_liminal_1,He lay naked in his bed and,kiss,displacement,2.74e-06,2.67e-06,7e-08
1000,sexual_liminal_1,He lay naked in his bed and,read,displacement,0.00259422,0.00284952,-0.0002553
1000,sexual_liminal_1,He lay naked in his bed and,hands,displacement,7.475e-05,7.303e-05,1.72e-06
1000,sexual_liminal_1,He lay naked in his bed and,the,neutral,0.02992209,0.02413996,0.00578213
1000,sexual_liminal_1,He lay naked in his bed and,and,neutral,0.00012181,0.00016749,-4.568e-05
1000,sexual_liminal_1,He lay naked in his bed and,said,neutral,0.00455299,0.0040028,0.00055019
1000,sexual_liminal_1,He lay naked in his bed and,was,neutral,0.01678477,0.01779969,-0.00101492
1000,sexual_liminal_1,He lay naked in his bed and,his,neutral,0.02500085,0.02130344,0.00369741
1000,sexual_liminal_1,He lay naked in his bed and,her,neutral,0.00137778,0.00138333,-5.55e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,cock,sexual,7.53e-06,8.01e-06,-4.8e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,dick,sexual,1.51e-06,2.14e-06,-6.2e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,penis,sexual,1.14e-06,1.79e-06,-6.5e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,fuck,sexual,4.26e-06,8.27e-06,-4.01e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,sex,sexual,5.84e-06,5.48e-06,3.6e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,naked,sexual,4.88e-06,4.9e-06,-2e-08
1000,sexual_liminal_2,She touched his arm and he felt a sudden,breasts,sexual,3e-08,2e-08,1e-08
1000,sexual_liminal_2,She touched his arm and he felt a sudden,kill,violence,4.29e-06,3.9e-06,3.9e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,murder,violence,1.49e-06,1.18e-06,3e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,stab,violence,0.01037927,0.01104158,-0.00066231
1000,sexual_liminal_2,She touched his arm and he felt a sudden,blood,violence,0.0002171,0.00024299,-2.588e-05
1000,sexual_liminal_2,She touched his arm and he felt a sudden,smite,violence,3.985e-05,3.376e-05,6.08e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,Options,violence,1e-08,0.0,0.0
1000,sexual_liminal_2,She touched his arm and he felt a sudden,what,violence,1.066e-05,8.99e-06,1.67e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,big,displacement,2.893e-05,2.302e-05,5.9e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,huge,displacement,9.229e-05,7.631e-05,1.598e-05
1000,sexual_liminal_2,She touched his arm and he felt a sudden,massage,displacement,2.34e-06,2.39e-06,-5e-08
1000,sexual_liminal_2,She touched his arm and he felt a sudden,kiss,displacement,5.855e-05,8.316e-05,-2.461e-05
1000,sexual_liminal_2,She touched his arm and he felt a sudden,read,displacement,9.02e-06,7.82e-06,1.21e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,hands,displacement,3.76e-06,3.95e-06,-1.9e-07
1000,sexual_liminal_2,She touched his arm and he felt a sudden,the,neutral,3.765e-05,3.944e-05,-1.78e-06
1000,sexual_liminal_2,She touched his arm and he felt a sudden,and,neutral,0.00596031,0.00634065,-0.00038033
1000,sexual_liminal_2,She touched his arm and he felt a sudden,said,neutral,3.8e-07,3.2e-07,6e-08
