model,tier,cjk_chars,cjk_tokens,vocab_size,tokens_per_char,families,positions,note,drops_cjk
baichuan-inc/Baichuan2-7B-Base,FLUENT,21006,71062,125696,3.38,baichuan,base,,false
baichuan-inc/Baichuan2-7B-Chat,FLUENT,21006,71062,125696,3.38,baichuan,superego,,false
m-a-p/CT-LLM-Base,FLUENT,21006,71062,125696,3.38,ct-llm,base,,false
m-a-p/CT-LLM-SFT,FLUENT,21006,71062,125696,3.38,ct-llm,ego,,false
m-a-p/CT-LLM-SFT-DPO,FLUENT,21006,71062,125696,3.38,ct-llm,superego,,false
Qwen/Qwen2.5-0.5B,FLUENT,8624,25061,151643,2.91,qwen-tiny,base,,false
Qwen/Qwen2.5-0.5B-Instruct,FLUENT,8624,25061,151643,2.91,qwen-tiny,superego,,false
Qwen/Qwen2.5-7B,FLUENT,8624,25061,151643,2.91,qwen,base,,false
Qwen/Qwen2.5-7B-Instruct,FLUENT,8624,25061,151643,2.91,qwen,superego,,false
Qwen/Qwen3-8B,FLUENT,8624,25061,151643,2.91,qwen3,superego,,false
Qwen/Qwen3-8B-Base,FLUENT,8624,25061,151643,2.91,qwen3,base,,false
internlm/internlm2-base-7b,FLUENT,7047,31148,92544,4.42,internlm2,base,,false
internlm/internlm2-chat-7b,FLUENT,7047,31148,92544,4.42,internlm2,superego,,false
internlm/internlm2-chat-7b-sft,FLUENT,7047,31148,92544,4.42,internlm2,ego,,false
m-a-p/neo_7b,FLUENT,5644,21898,64000,3.88,map-neo,base,,false
m-a-p/neo_7b_instruct_v0.1,FLUENT,5644,21898,64000,3.88,map-neo,superego,,false
m-a-p/neo_7b_sft_v0.1,FLUENT,5644,21898,64000,3.88,map-neo,ego,,false
bigscience/bloom-7b1,FLUENT,5058,28585,250680,5.65,bloom,base,,false
bigscience/bloomz-7b1,FLUENT,5058,28585,250680,5.65,bloom,superego,,false
openbmb/MiniCPM5-1B,FLUENT,4363,22934,130072,5.26,minicpm,superego,,false
openbmb/MiniCPM5-1B-Base,FLUENT,4363,22934,130072,5.26,minicpm,base,,false
openbmb/MiniCPM5-1B-SFT,FLUENT,4363,22934,130072,5.26,minicpm,ego,,false
zai-org/glm-4-9b-chat-hf,FLUENT,4223,28473,151329,6.74,glm4,superego,,false
zai-org/glm-4-9b-hf,FLUENT,4223,28473,151329,6.74,glm4,base,,false
01-ai/Yi-1.5-9B,FLUENT,4013,21347,63992,5.32,yi,base,,false
01-ai/Yi-1.5-9B-Chat,FLUENT,4013,21347,63992,5.32,yi,superego,,false
tiiuae/Falcon-H1-7B-Base,FLUENT,3652,18386,130048,5.03,falcon-h1-7b,base,,false
tiiuae/Falcon-H1-7B-Instruct,FLUENT,3652,18386,130048,5.03,falcon-h1-7b,superego,,false
deepseek-ai/deepseek-llm-7b-base,MARGINAL,3429,18006,100000,5.25,deepseek-7b,base,,false
deepseek-ai/deepseek-llm-7b-chat,MARGINAL,3429,18006,100000,5.25,deepseek-7b,superego,,false
tiiuae/Falcon-H1-1.5B-Base,MARGINAL,2829,8933,65536,3.16,falcon-h1-1.5b,base,,false
tiiuae/Falcon-H1-1.5B-Instruct,MARGINAL,2829,8933,65536,3.16,falcon-h1-1.5b,superego,,false
HuggingFaceTB/SmolLM3-3B,PARTIAL,2322,4132,128000,1.78,smol3,superego,,false
HuggingFaceTB/SmolLM3-3B-Base,PARTIAL,2322,4132,128000,1.78,smol3,base,,false
allenai/Llama-3.1-Tulu-3-8B-DPO,PARTIAL,2322,4132,128000,1.78,tulu|tulu-no-safety,superego,,false
allenai/Llama-3.1-Tulu-3-8B-SFT,PARTIAL,2322,4132,128000,1.78,tulu|tulu-sft-full,ego|superego,,false
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,PARTIAL,2322,4132,128000,1.78,tulu-sft-nomath,superego,,false
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,PARTIAL,2322,4132,128000,1.78,tulu-sft-nopersona,superego,,false
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,PARTIAL,2322,4132,128000,1.78,tulu-no-safety,ego,,false
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,PARTIAL,2322,4132,128000,1.78,tulu-sft-nowildchat,superego,,false
allenai/Llama-3.1-Tulu-3.1-8B,PARTIAL,2322,4132,128000,1.78,tulu|tulu-no-safety,reinforced_superego,,false
meta-llama/Llama-3.1-70B,PARTIAL,2322,4132,128000,1.78,llama-70b,base,,false
meta-llama/Llama-3.1-70B-Instruct,PARTIAL,2322,4132,128000,1.78,llama-70b,superego,,false
meta-llama/Llama-3.1-8B,PARTIAL,2322,4132,128000,1.78,llama|tulu|tulu-no-safety|tulu-sft-full|tulu-sft-nomath|tulu-sft-nopersona|tulu-sft-nowildchat,base,,false
meta-llama/Llama-3.1-8B-Instruct,PARTIAL,2322,4132,128000,1.78,llama,superego,,false
HuggingFaceH4/mistral-7b-sft-beta,PARTIAL,1456,1459,32000,1.0,zephyr,ego,,false
HuggingFaceH4/zephyr-7b-beta,PARTIAL,1456,1459,32000,1.0,zephyr,superego,,false
mistralai/Mistral-7B-v0.1,PARTIAL,1456,1459,32000,1.0,zephyr,base,,false
tiiuae/Falcon3-Mamba-7B-Base,PARTIAL,1077,1441,65024,1.34,falcon3-mamba,base,,false
tiiuae/Falcon3-Mamba-7B-Instruct,PARTIAL,1077,1441,65024,1.34,falcon3-mamba,superego,,false
tiiuae/falcon-mamba-7b,PARTIAL,1077,1441,65024,1.34,falcon-mamba,base,,false
tiiuae/falcon-mamba-7b-instruct,PARTIAL,1077,1441,65024,1.34,falcon-mamba,superego,,false
tiiuae/Falcon3-10B-Base,NOMINAL,715,897,131072,1.25,falcon3-10b,base,,false
tiiuae/Falcon3-10B-Instruct,NOMINAL,715,897,131072,1.25,falcon3-10b,superego,,false
tiiuae/Falcon3-1B-Base,NOMINAL,715,897,131072,1.25,falcon3-1b,base,,false
tiiuae/Falcon3-1B-Instruct,NOMINAL,715,897,131072,1.25,falcon3-1b,superego,,false
